INSERT INTO sale_record
VALUES(9519,0,635,2,17,1,NULL,0,NULL),
(9520,1,539,2,13,3,NULL,0,NULL),
(9521,0,675,0,1,1,NULL,0,NULL),
(9522,0,1061,3,20,1,NULL,0,NULL),
(9523,0,531,1,12,3,NULL,1,NULL),
(9524,0,230,2,18,3,NULL,0,NULL),
(9525,0,429,1,43,1,NULL,2,13),
(9526,0,122,4,37,3,NULL,0,NULL),
(9527,0,81,2,40,1,NULL,0,NULL),
(9528,1,973,4,43,3,NULL,0,NULL),
(9529,0,942,3,2,0,NULL,0,NULL),
(9530,0,602,0,8,0,NULL,0,NULL),
(9531,1,38,4,6,1,NULL,0,NULL),
(9532,0,347,3,33,1,NULL,0,NULL),
(9533,1,53,1,35,1,NULL,1,NULL),
(9534,2,1055,4,5,3,1,0,NULL),
(9535,1,781,2,27,3,4,0,NULL),
(9536,0,1023,1,11,0,NULL,1,NULL),
(9537,0,810,1,9,0,4,2,21),
(9538,0,797,4,2,1,4,0,NULL),
(9539,0,777,1,7,3,4,1,NULL),
(9540,0,629,0,3,1,NULL,0,NULL),
(9541,0,416,1,24,1,NULL,0,24),
(9542,0,793,0,13,3,4,0,NULL),
(9543,0,808,3,43,3,4,0,NULL),
(9544,0,80,2,4,1,NULL,0,NULL),
(9545,2,589,0,28,3,NULL,0,NULL),
(9546,2,521,2,38,3,NULL,0,NULL),
(9547,1,353,0,7,1,NULL,0,NULL),
(9548,0,821,2,9,1,4,0,NULL),
(9549,1,661,1,18,3,NULL,2,6),
(9550,1,578,4,0,2,NULL,0,NULL),
(9551,0,816,1,24,3,4,1,NULL),
(9552,0,821,2,32,0,4,0,NULL),
(9553,0,683,2,3,3,NULL,0,NULL),
(9554,1,56,3,22,0,NULL,0,NULL),
(9555,0,244,2,24,0,NULL,0,NULL),
(9556,0,219,0,22,1,NULL,0,NULL),
(9557,0,987,4,0,3,NULL,0,NULL),
(9558,0,832,4,35,0,NULL,0,NULL),
(9559,1,1070,2,14,1,NULL,0,NULL),
(9560,0,1074,1,5,1,NULL,1,NULL),
(9561,0,604,0,29,1,NULL,0,NULL),
(9562,0,1050,3,30,1,1,0,NULL),
(9563,0,41,0,4,2,NULL,0,NULL),
(9564,0,617,0,41,3,NULL,0,NULL),
(9565,0,55,4,23,1,NULL,0,NULL),
(9566,0,81,2,34,0,NULL,0,NULL),
(9567,0,597,2,2,3,NULL,0,NULL),
(9568,0,30,1,7,3,NULL,1,NULL),
(9569,1,132,2,13,3,NULL,0,NULL),
(9570,0,336,1,18,1,NULL,2,10),
(9571,2,514,1,40,0,NULL,2,0),
(9572,1,800,3,20,3,4,0,NULL),
(9573,0,764,3,6,0,4,0,NULL),
(9574,2,248,0,30,0,NULL,0,NULL),
(9575,0,1043,1,26,0,1,2,42),
(9576,1,690,2,5,1,NULL,0,NULL),
(9577,2,753,0,17,0,4,0,NULL),
(9578,0,364,0,3,3,NULL,0,NULL),
(9579,1,957,2,8,0,NULL,0,NULL),
(9580,0,531,0,8,1,NULL,0,NULL),
(9581,0,255,1,0,3,NULL,2,28),
(9582,0,988,3,2,3,NULL,0,NULL),
(9583,0,449,2,22,0,NULL,0,NULL),
(9584,2,46,3,25,0,NULL,0,NULL),
(9585,0,710,4,1,1,NULL,0,NULL),
(9586,0,53,1,23,1,NULL,2,39),
(9587,1,989,4,40,1,NULL,0,NULL),
(9588,1,809,1,41,3,4,1,NULL),
(9589,0,274,3,30,1,NULL,0,NULL),
(9590,0,772,4,9,3,4,0,NULL),
(9591,1,264,1,42,1,NULL,1,NULL),
(9592,0,832,0,1,1,NULL,0,NULL),
(9593,1,971,1,37,1,NULL,1,NULL),
(9594,0,805,1,16,0,4,1,NULL),
(9595,1,658,4,4,2,NULL,0,NULL),
(9596,0,1022,1,2,3,NULL,1,NULL),
(9597,0,756,2,7,1,4,0,NULL),
(9598,1,671,0,23,3,NULL,0,NULL),
(9599,0,469,0,33,3,NULL,0,NULL),
(9600,0,644,3,9,0,NULL,0,NULL),
(9601,0,954,3,13,0,NULL,0,NULL),
(9602,0,189,0,9,0,NULL,0,NULL),
(9603,0,1081,2,40,3,NULL,0,NULL),
(9604,0,611,0,35,3,NULL,0,NULL),
(9605,1,424,3,3,3,NULL,0,NULL),
(9606,0,545,0,26,3,NULL,0,NULL),
(9607,0,125,1,6,3,NULL,1,NULL),
(9608,0,1050,1,38,0,1,1,NULL),
(9609,0,422,1,3,1,NULL,1,NULL),
(9610,0,1034,4,18,1,1,0,NULL),
(9611,0,430,2,41,0,NULL,0,NULL),
(9612,1,1049,3,32,3,1,0,NULL),
(9613,0,965,2,33,0,NULL,0,NULL),
(9614,0,263,3,21,3,NULL,0,NULL),
(9615,2,939,1,21,3,NULL,1,NULL),
(9616,0,67,1,30,1,NULL,0,46),
(9617,1,667,2,36,3,NULL,0,NULL),
(9618,1,264,1,3,0,NULL,1,NULL),
(9619,1,620,3,15,3,NULL,0,NULL),
(9620,0,681,3,31,1,NULL,0,NULL),
(9621,1,934,0,14,1,NULL,0,NULL),
(9622,1,340,0,28,0,NULL,0,NULL),
(9623,2,324,0,41,0,3,0,NULL),
(9624,0,967,2,5,1,NULL,0,NULL),
(9625,1,838,3,10,0,NULL,0,NULL),
(9626,0,66,0,5,0,NULL,0,NULL),
(9627,1,442,4,8,1,NULL,0,NULL),
